name,price,status,shipping,free_returns,items_sold
Ancient Style Chinese Hanfu Itabag Handbag Women's Shoulder Bag Crossbody Bag ,5915,Brand New,1200,False,0
Maurizio Taiuti Leather Crossbody Bag Handbag Italian Designer Purse,4000,Pre-Owned,,False,0
Lululemon Black / Silver AND Silver Drop BUNDLE Belt Bags 1L NWT Brand New,1296,Brand New,857,False,
Quince Italian Leather Cognac Convertible Crescent Handwoven Bag 11x15x1”,7999,Brand New,1665,False,0
Bag Underarm Bag Genuine Leather Women's Handbag Commuting Single Shoulder,5116,New (Other),0,False,0
Coach Women’s tote bag CU759 IMXAQ SMALL CITY TOTE Newarticle,20000,Brand New,0,False,91
Women Crossbody Shoulder Bags Chest Sling Bag Fanny Packs Travel Sports Backpack,1090,Brand New,0,True,0
GUCCI  Abbey Shoulder Bag GG Nylon Leather Authentic,19900,Pre-Owned,3000,True,
Kate Spade New York Leather Bag Adel Flap Backpack Purse Pale Pink S362,9995,New (Other),900,False,
Kate Spades leather shoulder bag  ,7000,Pre-Owned,898,False,
Longchamp Shopping Bag Handbag Long handle S - PaperWhite,9265,New (Other),366,False,
Authentic COACH Hand Bag Wool Suede Leather F10200 Light Blue Multicolor 2905M,7600,Pre-Owned,0,True,0
DOONEY & BOURKE WOMEN'S CRESCENT HOBO SHOULDER BAG LOGO/NAVY,3999,Brand New,0,False,0
Vintage Dooney & Bourke Handbag,7200,Pre-Owned,1171,False,
American retro fashion canvas bag shoulder large capacity underarm tote bag #3,890,New (Other),0,False,0
Michael Kors,12000,Brand New,858,False,
Small Sling Bag for Women Leather Crossbody Handbag Bag Purse (Chocolate BO),1549,Brand New,0,True,0
FURLA Pebble Leather Shoulder Hobo Hand Bag Purse Large Dark Green Excellent,8999,Pre-Owned,,False,0
Lululemon Everywhere Women's 1L Belt Bag - Black Free Shipping fast shipping,2699,Brand New,0,False,0
LAGGO Leather Hobo Shoulder Bag Designer Tote Handbag Navy Blue Gold,10000,New (Other),1620,False,
Juicy Couture Handbag,11500,Brand New,1258,False,
GIANI BERNINI Women's Tote Purse Floral Straw Bottom Shoulder Summer Bag ,4600,New (Other),0,False,
NEW Fashion Classic Retro Women's Multi functional Crossbody Bag 3 colors,13500,Brand New,0,False,
Patricia Nash Woven Tweed Pink Raffia Leather Wristlet Purse,2895,Pre-Owned,796,False,0
KPLUSPOP Love Dive IVE K-POP Logo Graphic Tote Shoulder Bag,1499,New (Other),600,False,
Shop on eBay,2000,Brand New,,False,
Shop on eBay,2000,Brand New,,False,
KPLUSPOP Love Dive IVE K-POP Logo Graphic Tote Shoulder Bag,1499,New (Other),600,False,
Parisa Wang Carrie Leather Shoulder Bag Brown/beige excellent condition,16000,Pre-Owned,1620,False,0
KPLUSPOP NewJeans Manhwa Manga Cartoon K-POP Logo Graphic Tote Shoulder Bag,1499,New (Other),600,False,
KPLUSPOP TXT Tomorrow x Together Freefall Album K-POP Logo Graphic Tote Shoulder,1499,New (Other),600,False,
Auth Gucci Twist Lock Red Suede Handbag Shoulder Bag W/Strap/Bag GPJ040056,100,Pre-Owned,1000,True,0
Michael Kors Mirella Medium MK Logo Jacquard EW Tote Crossbody Handbag Purse,7760,Brand New,0,True,0
NWT Lululemon Black Silver Everywhere 1L Unisex Belt Bag Sports Running,2699,Brand New,0,False,0
MOSSDOOM Shoulder Bag Simple Bag Women Compact Stylish High Capacity,5298,Brand New,0,False,0
Gothic Flame Skull Handbag Punk Purse Women Shoulder Bag Crossbody Wallet Black,2095,Brand New,0,True,0
Tote Bag VIP Museum Beauty Tour Beach Pouch ChanelGift  (Two Models Available),4290,Brand New,0,False,0
Kate Spade Treat Yourself 3d Candy Shop Crossbody KK168,18900,Brand New,1107,False,0
Claudie Pierlot Women's Bag Shoulder Bag Leather CFASA00187,128,Brand New,2062,False,
DKNY Bryant Medium Tote In color Hemp & Blue large bag,6500,Pre-Owned,0,False,
Ferragamo Salvatore Vara Shoulder Bag Black ,39500,New (Other),1138,False,
Women Outdoor Crossbody Bag Waterproof Sling Shoulder Chest Sports Backpack,928,Brand New,0,False,0
New Sanxiner Crescent Nylon Crossbody Bag Beige – Lightweight & Roomy,1614,Brand New,0,False,0
Women New Genuine Leather Brown Purse Shoulder Bag Pockets Cross Body Handbag,1854,Brand New,0,False,15
Thirty One Organizing Utility tote 31  Bag Plum Awesome Blossom,2099,Brand New,0,False,0
Dooney Bourke Gray Leather Adjust Shoulder Strap Bag Zipper Close Red Interior,8595,New (Other),1008,False,0
"NWT hello kitty Shoulder Bag, Backpack, And Crossbody Phone Bag",12500,Brand New,2000,False,
"Tommy Hilfiger Purse, Handbag, Tote Bag Black ",4298,Brand New,1778,False,
Dooney & Bourke Pebble Grain Aimee Crossbody,15900,Brand New,0,False,0
Classic Retro Small PU Shoulder Bag for Women – Party & Casual Purse  3 colors,12000,Brand New,0,False,
Women Puffer Tote Bag Quilted Puffy Handbag Shoulder Bag Down Underarm Large Bag,1066,Brand New,0,False,46
CELINE Hand Bag Brown PVC Leather Macadam Pattern Stylish Bag Celine Logo,42000,Pre-Owned,0,True,
Women Pvc Clear Approved Crossbody Bag Clutch Handbag Zipper Small Stadium,1094,Brand New,0,False,0
BREE ORIGINAL Soft Leather Dark Green Crossbody Purse Bag Travel Germany,4999,Pre-Owned,1095,False,
 Trendy Shoulder Crossbody Bag For Women Fashion Underarm Bag Crescent Crossbody,1846,Brand New,0,False,0
NWT COACH Nolita 19 Women's Shoulder Bag Versatile Handbag Purse Chalk White,9799,Brand New,0,False,
Maeve The Fiona Beaded Bag By Anthropologie,7500,New (Other),,False,0
Kipling Keiko Crossbody Bag,4500,Brand New,636,False,
COACH Shoulder Bag Teri Hobo CJ517 Black 2Way Bag Outlet New with Tag,8999,Brand New,0,False,24
"🏳️‍🌈🔥🔔 NEW KURT GEIGER KENSINGTON RAINBOW SHOULDER CONVERTIBLE BAG, LARGE!",21450,Brand New,2120,False,
"Versatile 3-in-1 Leather Tote Bag: Crossbody, Shopping, & Handbag for Women",9500,New (Other),1014,False,
Clinique Beauty Star  Shopping Large Travel Tote Bag Purple,999,Brand New,0,True,0
Waterproof Sunflower Backpack Women Purse Shoulder Rucksack Travel Bag Handbag,1448,Brand New,0,True,0
NWT Lilly Pulitzer Jeanie Belt Bag in True Navy Free Shipping,4200,Brand New,0,False,0
Tory Burch McGraw Bucket Bag,23000,Pre-Owned,,False,0
Anne Klein Handbag,2000,Pre-Owned,700,False,
3 Layers Women Tote Bag High Quality Leather Handbags Leisure Shoulder Bag New,4070,New (Other),0,False,0
Stadium-Approved Clear Crossbody Bag PVC Tote Pack Men Women Handbag Zip Purse,1198,Brand New,0,True,0
NWT VITTORIA NAPOLI Made In Italy Genuine Leather Peekaboo Peach Bag Large $175 ,7500,Brand New,1960,False,
"Wide Purse Strap Replacement for Crossbody, Messenger, Shoulder Bag",1499,Brand New,0,True,0
Aimee Kestenberg All For Love Leather Zip Top Convertible Shoulder Bag Black,14900,New (Other),1133,False,
"Michael Kors Handbag Signature Logo Monogram Bag Purse 14""×8"" ×9""",4000,Pre-Owned,,False,0
LeSportsac X Hello Kitty Crossbody Bag Black,5900,Brand New,0,False,0
