name,price,status,shipping,free_returns,items_sold
Natural Ammonite Fossil Gemstone Pendant Brown 925 Sterling Silver Jewelry,3276,New (Other),0,True,0
Shop on eBay,2000,Brand New,,False,
Shop on eBay,2000,Brand New,,False,
"Ammonite Fossil Jewelry Copper Gift For Sister Wire Wrapped Pendant 2.44""",1800,New (Other),0,True,129
"Purple Fire Labradorite Wire Wrapped Pendant Handcrafted Copper Dailywear 3.07""",2520,New (Other),0,True,184
Yellow Opal Beaded Bracelet Gemstone Opal Jewelry Natural Opal Beaded Bracelet,3119,Brand New,0,True,
Multi Fire Opal Beaded Bracelet Opal Jewelry AAA Ethiopian Opal Beads Bracelet,3119,Brand New,0,True,
7 Pc Gold Tone Open Bangle Bracelets Fashion Jewelry For Women A1G,1195,Brand New,279,True,
5X Magnifying Glass Lens on Necklace Silver Chain Magnifier Pendant Jewelry USA.,325,Brand New,0,False,0
Women's Cute Cat Ear Stainless Steel Ring Cat Animal Pet Jewelry Gift,799,New (Other),0,True,0
5Pcs Set Fake Earrings No Piercing Earring Ear Cuff Hollow Out Ear Clip Jewelry*,70,New (Other),0,False,65
925 Silver Daisy Flower Leaf Open Rings Statement Sunflower Women Jewelry,97,Brand New,0,False,291
MENDEL Amulet Killer Whale Tail Pendant Necklace Charm Stainless Steel Jewelry,1199,Brand New,0,True,280
Fashion Flower 925 Silver Filled Ring Women Party Jewelry Gift Ring Sz 6-10,335,New (Other),0,False,0
Fashion Flower Natural Stone Crystal Drop Dangle Earrings Stud Women Jewelry Hot,84,Brand New,0,False,
925 Sterling Silver Heart Pendant Snake Chain Necklace.,599,Brand New,0,False,
Opal Beaded Bracelet Loose Gemstone Opal Jewelry Natural Opal Beaded Bracelet,3119,Brand New,0,True,
Boma Jewelry Loyalty Locket 925 Sterling Silver NEW (N 9056),8300,Brand New,0,False,0
Jewelry Making :) Disc Cutter - Oval - 2 BIG Punches 000 Shapes Punches Set Moon,9000,Brand New,0,True,0
"Stainless Steel Gold Plated Rope Chain 2, 3, 4, 5mm Hip Hop Jewelry Unisex, Men",499,New (Other),0,True,0
"Cross pendant necklace, stainless steel titanium steel men's jewelry",569,New (Other),0,False,
Elegant Women Cubic Zircon Rings 925 Silver Wedding Engagement Jewelry Sz 5-12,262,Brand New,210,True,
Stainless Steel Silver Plated Hollow Cross Pendant Necklace Women Men Jewelry,155,New (Other),0,False,181
2Pcs/set Zircon Jewelry Silver Ring For Women Couple Wedding Gift Size 5-11,210,New (Other),0,False,
925 Silver Vintage Womens Crystal Wedding Fashion Rings Jewelry Green/Red Stone,126,New (Other),0,True,
"18-40""MEN Stainless Steel 3/4/5/6/8mm Silver Miami Cuban Curb Chain Necklace*155",999,Brand New,0,True,75
925 Silver Bracelet 3mm Snake Chain Men Women Fashion Jewelry Gift US,146,New (Other),0,True,56
Women Fashion Cubic Zircon Wedding Jewelry 925 Silver Filled Drop Earring Gift,281,Brand New,210,True,996
10k 14k 18k 22K 24K Gold Silver Jewelry Test Kit Acid Box Precious Metals Stone,3997,Brand New,0,True,0
Elegant Pearl Engagement Drop Earrings Gift Women Stud Dangle Jewelry Gifts,70,Brand New,0,False,316
Gorgeous Jewelry 925 Silver Plated Rings Cubic Zircon Women Wedding Gift Sz 6-10,191,Brand New,210,True,
"Solid Gold Cross Pendant in 10 or 14k, Crucifix Pendant Religious Jewelry",2469,Brand New,0,True,0
Vintage Opal Beaded Bracelet Opal Jewelry Natural Opal Beaded Bracelet,1980,Brand New,0,True,
Dewalt tool construction Men Ring gold or Silver Rings Fashion Men Jewelry,12000,Brand New,1061,False,
Jewelry necklace  Surgical Steel The Cosmic Collection eniwill,7000,Brand New,0,False,0
Fashion 925 Silver Ring Women Jewelry Cubic Zircon Wedding Ring Sz 6-10,395,New (Other),0,False,1718
Fashion Stainless Steel Musical Note Pendant Necklace Women Men Charm Jewelry,118,New (Other),0,False,79
Black Obsidian Stone Cross Necklace Jewelry Gifts,248,Brand New,0,False,58
Wholesale Lots 32pcs Mixed Shell Fashion Resin Jewelry Women Silver P Rings,1899,New (Other),0,False,
Butterfly Lavender Purple Fire Opal Silver Jewelry Necklace Pendant,549,Brand New,440,False,0
Pretty 925 Silver Filled Ring Heart Cubic Zirconia Wedding Jewelry Size 6-10,191,Brand New,210,True,
BULK Cardboard Kraft Paper JEWELRY GIFT BOXES Cotton Filled TURQUOISE - Shipping,1199,Brand New,0,True,0
Ethiopian Black Opal Faceted Cut Gemstone Calibrated Size 8x6 MM Pendant Jewelry,8640,New (Other),0,True,0
Luxury 925 Silver Filled Rings Cubic Zirconia Anniversary Jewelry Gift Size 6-10,331,Brand New,210,True,
Silver Plated Shiny Gypsophila Glitter Chain Necklace Clavicle Women Jewelry,161,New (Other),0,False,79
Two Tone 925 Silver Filled Wedding Elegant Cubic Zircon Women Jewelry Sz 6-10,243,Brand New,210,True,568
Cross Bullet Memorial Cremation Necklace Pendant Men Women Urn Jewelry for Ashes,1099,New (Other),0,False,0
Two Tone 925 Silver Plated Ring Bee Cute Cubic Zircon Women Jewelry Sz 6-10,212,Brand New,210,True,
"Fashion Jewelry 6mm Natural Multicolor Round Gemstone Beads Necklace 18-36""",379,New (Other),299,False,
"Gorgeous Cubic Zircon 925 Silver Filled,Gold Ring Women Party Jewelry Sz 6-10",193,Brand New,210,True,0
Women Creative Leaf 925 Silver Party Rings Cubic Zirconia Jewelry Size 6-10,247,Brand New,210,True,
Festoon Necklace Gold Plated Brushed Bead For Women Jewelry Statement Necklace,3752,New (Other),0,False,0
Gorgeous Cubic Zircon 925 Silver Plated Ring Women Wedding Party Jewelry Sz 6-10,231,Brand New,210,True,104
Vintage Turquoises Heart Pendant Necklace Bohemia Jewelry Gifts For Women Girls,184,New (Other),0,False,0
8 Pcs Ring Size Adjuster Invisible Clear Ring Sizer Jewelry Fit Reducer Guard US,158,Brand New,0,False,60
"Rope Chain Necklace 3mm to 10mm 16"" to 30"" 14K Gold Plated Mens Hip Hop Jewelry",989,Brand New,0,True,0
MENDEL Unisex Mens Womens Resin Peace Sign Symbol Pendant Necklace Jewelry Rope,1099,Brand New,0,True,175
Elegant Rings for Women Zircon Butterfly Jewelry Wedding Zircon Ring Giftsⓑ,135,Brand New,0,False,
"Stainless Steel Rope chain 2,3,4,5mm Size 16-24in HipHop Jewelry Men, Women Gift",399,New (Other),0,True,0
Cute 925 Silver Filled Cubic Zircon Ring Women Jewelry Wedding Gift Sz 6-10,224,Brand New,210,True,0
"Mens Rope Chain Necklace Bracelet 2mm to 6mm 14k Gold Plated 8, 9, 20, 24, 30"" ",999,Brand New,99,False,0
Diamond Selector II Tester & Moissanite Tester Gemstone Jewelry Tool Set w/cases,2155,Brand New,0,True,6630
URMYLADY 925 Sterling Silver Lock Cross Charm Chain Bracelet Fashion Jewelry,817,Brand New,0,False,117
